idx,label,id,type,source
146604,"Hughes, Julian C.",f7r2752q,Person,contributor
48485,"Bonnet, Henri",br9kyywq,Person,contributor
243122,"Herman, G. Ernest (George Ernest), 1849-1914.",jnmhp7j2,Person,contributor
28082,"Wit, Abraham de de jonge",azs9xv4d,Person,contributor
257753,"Mniszech, Josef, starost of Sanok, b. 1742-d. 1797",k6v6v2bs,Person,subject
456377,"Bucquoy, Jules.",t9eacgr9,Person,contributor
420069,"Weldon, Mr",ry4shv4p,Person,contributor
431821,"Assmann, A., lithographer.",sczjardx,Person,contributor
56436,"Leblond, C.",bzu9k9mp,Person,contributor
239179,"Zavarzin, A. A. (Alekseĭ Alekseevich)",jh982jwx,Person,subject
38250,"Smoodin, Eric Loren.",bd3gnmnm,Person,contributor
429157,"Haglund, David G.",sa5msbaf,Person,contributor
374341,"Denis, Valentin.",qbs6ug2z,Person,contributor
353517,"Wayman, John Hudson, 1820-1867.",pkw23ft5,Person,contributor
161439,"Rogers, Walter Thomas, -1912.",fr6jgta9,Person,contributor
357295,"Freeman, Mavis.",pqxsygrz,Person,contributor
603180,"Kelly, Susan (Susan Elizabeth)",yg2ahhsh,Person,contributor
612454,"King, David, 1812-1882.",yt36kupv,Person,contributor
581364,"Plumptre, Charles John.",xqed4k66,Person,contributor
142716,"Varley, Jennifer M.",f3b649v4,Person,contributor
603907,"Caesarius, of Nazianzus, Saint, -369.",ygrtems2,Person,subject
325983,"Raue, C. G. (Charles Godlove), 1820-1896.",nmj98wu6,Person,contributor
345219,"Cole, William, 1635-1716.",patpndq7,Person,contributor
304771,"Savigny, John Horatio.",mv3yhdra,Person,contributor
29248,"Davidmann, Sara",b339r4xx,Person,contributor
619793,Gerd Tellenbach,z3cjjrb6,Person,contributor
62045,"Gerson, Stéphane Family.",c822sqtf,Person,subject
331723,"Kovachevski, Ivan Christoff.",ntx345sb,Person,contributor
413022,"Damarzit de Sahuguet, Jean Baptiste Joseph, baron d'Espagnac, 1713-1783.",rq9qg7he,Person,contributor
167465,"Lewis, Kenneth.",fxtreqrt,Person,contributor
230438,"Crowe, A. G. (Alfred Gwyllym), 1835-1894.",j7wnbn2n,Person,contributor
